,userId,movieId,rating,movie_idx
0,111,1,4.0,11
3,111,47,5.0,15
4,111,50,5.0,13
7,111,110,4.0,7
13,111,231,5.0,62
15,111,260,5.0,5
16,111,296,3.0,2
17,111,316,3.0,55
20,111,356,4.0,0
22,111,367,4.0,42
25,111,457,5.0,22
26,111,480,4.0,6
27,111,500,3.0,48
28,111,527,5.0,9
32,111,590,4.0,38
33,111,592,4.0,23
34,111,593,4.0,3
36,111,608,5.0,28
37,111,648,3.0,39
40,111,733,4.0,84
41,111,736,3.0,80
42,111,780,3.0,16
60,111,1073,5.0,90
62,111,1089,5.0,68
65,111,1097,5.0,82
67,111,1136,5.0,60
68,111,1196,5.0,12
69,111,1197,5.0,52
70,111,1198,5.0,18
71,111,1206,5.0,86
73,111,1210,5.0,20
74,111,1213,5.0,75
75,111,1214,4.0,45
81,111,1240,5.0,69
84,111,1265,4.0,50
85,111,1270,5.0,33
89,111,1291,5.0,56
101,111,1580,3.0,37
121,111,2028,4.0,24
147,111,2329,5.0,72
166,111,2571,5.0,4
171,111,2628,4.0,57
180,111,2716,5.0,87
184,111,2858,5.0,14
192,111,2959,5.0,10
219,111,3578,5.0,35
228,111,3793,5.0,63
262,428,527,0.5,9
301,121,32,2.0,31
303,121,47,2.0,15
318,121,260,5.0,5
320,121,296,1.0,2
331,121,457,5.0,22
338,121,588,4.0,27
339,121,593,5.0,3
340,121,595,3.0,46
342,121,608,5.0,28
343,121,648,3.0,39
364,121,1073,4.0,90
372,121,1136,5.0,60
376,121,1196,5.0,12
377,121,1197,5.0,52
378,121,1198,3.0,18
382,121,1213,4.0,75
387,121,1265,4.0,50
393,121,1291,4.0,56
400,121,1580,3.0,37
404,121,1704,1.0,53
422,121,1968,4.0,98
442,121,2571,1.0,4
445,121,2628,1.0,57
446,121,2683,4.0,85
449,121,2762,4.0,29
454,121,2858,5.0,14
458,121,2959,2.0,10
500,121,4226,2.0,41
516,407,1,4.0,11
518,407,34,4.0,74
521,407,50,4.0,13
523,407,110,4.0,7
524,407,150,3.0,17
525,407,153,3.0,59
533,407,296,5.0,2
535,407,316,2.0,55
536,407,318,3.0,1
537,407,344,3.0,40
540,407,364,3.0,32
541,407,367,4.0,42
542,407,380,2.0,30
544,407,457,4.0,22
548,407,527,5.0,9
551,407,588,4.0,27
552,407,589,3.0,8
553,407,590,5.0,38
554,407,592,3.0,23
556,407,595,5.0,46
558,407,597,3.0,61
559,407,608,3.0,28
567,79,10,3.0,66
581,79,32,4.0,31
582,79,34,4.0,74
588,79,47,4.0,15
589,79,50,1.0,13
609,79,110,5.0,7
618,79,150,4.0,17
620,79,153,3.0,59
626,79,165,3.0,49
635,79,185,3.0,99
645,79,208,3.0,95
657,79,231,3.0,62
691,79,293,3.0,64
692,79,296,2.0,2
701,79,316,5.0,55
703,79,318,5.0,1
715,79,344,3.0,40
725,79,356,5.0,0
732,79,364,5.0,32
734,79,367,4.0,42
739,79,377,5.0,34
741,79,380,4.0,30
761,79,457,5.0,22
771,79,480,5.0,6
779,79,500,5.0,48
789,79,527,3.0,9
804,79,587,5.0,96
805,79,588,5.0,27
806,79,589,3.0,8
807,79,590,5.0,38
808,79,592,3.0,23
809,79,593,4.0,3
811,79,595,5.0,46
813,79,597,4.0,61
815,79,608,3.0,28
834,79,736,5.0,80
839,79,780,5.0,16
871,79,1073,3.0,90
874,169,1,4.5,11
875,169,50,4.5,13
877,169,150,4.5,17
878,169,165,4.0,49
879,169,260,5.0,5
880,169,356,5.0,0
881,169,380,3.0,30
883,169,480,5.0,6
884,169,587,2.0,96
885,169,588,3.0,27
886,169,589,2.5,8
887,169,592,3.0,23
888,169,593,5.0,3
889,169,595,3.5,46
890,169,648,4.0,39
892,169,780,4.5,16
897,169,1196,4.0,12
899,169,1210,4.0,20
902,169,1240,5.0,69
904,169,1270,5.0,33
909,169,1682,3.0,77
918,169,2628,1.5,57
921,169,2683,2.0,85
925,169,2762,4.5,29
926,169,2858,4.0,14
930,169,3578,1.5,35
932,169,3793,3.5,63
940,169,4306,4.0,36
947,169,4886,4.0,67
949,169,4963,4.0,91
950,169,4993,4.5,19
951,169,4995,4.5,81
953,169,5349,3.5,83
955,169,5445,4.0,88
961,169,5952,4.5,25
962,169,5989,4.0,97
967,169,6539,4.5,44
971,169,7153,4.0,26
992,169,8961,4.0,78
1007,169,33794,2.0,92
1027,392,10,2.0,66
1030,392,32,3.0,31
1031,392,34,5.0,74
1033,392,47,4.0,15
1034,392,50,5.0,13
1035,392,110,3.0,7
1037,392,150,4.0,17
1038,392,153,2.0,59
1039,392,185,5.0,99
1041,392,208,3.0,95
1042,392,231,4.0,62
1049,392,296,4.0,2
1051,392,318,5.0,1
1053,392,356,3.0,0
1055,392,364,5.0,32
1056,392,367,3.0,42
1057,392,377,4.0,34
1058,392,380,5.0,30
1062,392,457,3.0,22
1063,392,480,4.0,6
1064,392,500,2.0,48
1065,392,527,5.0,9
1067,392,586,3.0,93
1068,392,587,3.0,96
1069,392,590,5.0,38
1070,392,592,3.0,23
1071,392,593,4.0,3
1072,392,597,3.0,61
1082,396,1198,5.0,18
1083,396,1270,5.0,33
1097,396,4993,5.0,19
1100,396,5445,4.0,88
1112,396,5952,5.0,25
1119,181,296,1.0,2
